REQUIREMENT_ID	SOURCE	SOURCE_COMMIT	SOURCE_LOCATION	SOURCE_HASH	EXACT_PASSAGE	CLASSIFICATION	INTERPRETATION	COMPONENT	ACCEPTANCE_TEST	EVIDENCE	STATUS	OPEN_QUESTION	DECISION_REFERENCE
M-001	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L6-L11	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"To be decentralized means there is no single person, entity, nor group which has ultimate control nor
benefit over a system/

In a decentralized system, there is not one man who via desire or persuasion could cripple the system in any meaningful way
This means from both a technical standpoint (i.e, a developer who can stop trading, or disable the protocol through the use of smart contracts) 
and a financial one (e.g, an entity who has n+1 (infinite) tokens, and could dump them if they so wished, but decides not to.) "	mandatory behavior	No person or group can disable the system or exercise unlimited issuance; interpret as a system-wide authority constraint, not an owner() check.	Protocol authority	Enumerate every authority path and disable default services; independently submit valid actions and verify fixed supply assumptions.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL SUBSET: deterministic fixture/history reconstruction. Two UI readers use the same model; no independent operator, chain availability, censorship resistance or full builder-disappears result. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Which dependency control and failure assumptions are unavoidable?	SPEC_CONFLICTS.md#c-012
M-002	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L22	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	     1. This is a only a specification. It is up to the cawmmunity to write and deploy the protocol. 	mandatory behavior	The text is a specification for community implementation, not evidence that an application exists or is official.	Project governance	Docs distinguish proposed, implemented, tested and externally reproduced; preserve approved source attribution.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED: interface labels community implementation under review and local simulation, using Xubu. No official status or community ratification. Browser QA blocked. See DECISION_LOG.md#d-003 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-003	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L23-L26	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"     2. It is strongly recommended that a peer group is formed to develop and review smart contracts. 
 as there is no leader in this process, all types will attempt to claim ownership of the process. 
 there will those everso helpful who claim to be able to 'do it all' but will write the perfect code
 with the perfect backdoor   Only a cawmmunity reviewed and accepted contract on a public github will be acceptable"	recommendation	Form an open peer group for development and smart-contract review; no individual claims ownership of the process.	Contribution and review	Publish a review process under separate approval; record participation and objections without claiming self-review is independent.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: SAME-TEAM REVIEW ONLY: source inspection, separate literal-accounting expectations and 40/40 tests in coordinator's second supervised run. No independent external security review, community acceptance or release approval. See DECISION_LOG.md#d-013 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	How is open acceptance demonstrated without a privileged deciding group?	SPEC_CONFLICTS.md#c-011
M-004	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L26	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	 with the perfect backdoor   Only a cawmmunity reviewed and accepted contract on a public github will be acceptable	mandatory behavior	Public GitHub source and community review/acceptance are release conditions, not permission for an immediate public write.	Release process	Check source commit availability, review evidence and recorded release agreement; user publication approval remains separately required.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no application Git repository, public source publication or community release agreement; B-001 does not authorize those actions. See DECISION_LOG.md#d-008 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	What acceptance process has community legitimacy?	SPEC_CONFLICTS.md#c-011
M-005	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L27-L28	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"     3. After deployment, the deployer must renounce any keys they have to the contracts. There will be no multi-sig,  no upgradeable proxyies.
 It will not matter who deployed because they will be equal with all with no specfic benefit nor advantage. Just get the contract right."	mandatory behavior	After deployment builders retain no privileged contract keys, multisig control, upgradeable proxies, special benefit or advantage.	Deployment and authority	Inspect bytecode and complete authority graph including roles, factory, delegates, registry, fees and configuration; normal users and former deployer have equal powers.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no smart contracts, deployment or production authority graph. Synthetic device checks and local server isolation cannot establish protocol custody, royalty controls or absence of privileged developer powers. See DECISION_LOG.md#d-006 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Resolve privileged protocol authority versus ordinary user-controlled account security.	SPEC_CONFLICTS.md#c-012
M-006	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L32	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	a. A protocol made up of many on-chain smart contracts for sending messages  publically or p2p with a max character limit of 420. 	mandatory behavior	Use on-chain contract-backed public messaging and P2P messaging with a 420-character maximum; detailed counting and DM application require a decision.	Messages	Check 419/420/421 units, combining marks, emoji, RTL and explicit DM limit after the counting rule is resolved.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED MODEL ONLY: provisional 420-code-point boundary, astral/combining characters, exact text retention and malformed-surrogate rejection. No on-chain/P2P validation or final character-count decision. See DECISION_LOG.md#d-005 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	What is a character, and does the limit apply identically to DMs?	SPEC_CONFLICTS.md#c-004
M-007	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L33	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	b. A specification for the frontends, of which many will be made, to interact with this protocol. 	mandatory behavior	Specify the protocol interface so independently made frontends can interoperate.	Client interoperability	A second client can parse records and compose identical signed actions from the published specification.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL FORMAT: strict intents, event/receipt schemas, two matching replay exports and rejection of incomplete/inconsistent edits. No signed protocol, on-chain identity or permanent public-record storage. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-008	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L36	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	 i. Burn CAW through a contract to mint an NFT. This burned caw will go to 0x0. The NFT will be your username. 	mandatory behavior	Mint an NFT username only through a CAW burn contract; literal source destination is zero address.	Username mint and token	Verify actual CAW token address/decimals/transfer implementation and attempt zero-address transfer in an isolated authorized token test; no silent destination substitution.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical username burn bands including 8+ plateau are displayed without minting. Actual CAW/zero-address burn compatibility and production schedule remain unresolved; browser QA blocked. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Does actual CAW permit the required zero-address burn?	SPEC_CONFLICTS.md#c-001
M-009	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L37	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	  a. The fewer characters in your username, the higher the cost. 	mandatory behavior	Shorter usernames cost more under the schedule; the appendix treats lengths eight and above equally.	Username economics	Test adjacent schedule bands and document the 8+ plateau.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical username burn bands including 8+ plateau are displayed without minting. Actual CAW/zero-address burn compatibility and production schedule remain unresolved; browser QA blocked. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Does 'fewer characters' require strict monotonicity beyond eight?	SPEC_CONFLICTS.md#c-003
M-010	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L38	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	  b. Every username is unique, and may use a-z and 0-9, without the use of special characters (emojis, etc..,) or capital letters. 	mandatory behavior	Unique usernames contain lowercase ASCII a-z and digits 0-9 only, without special characters or capitals.	Username validation	Reject empty, uppercase, non-ASCII/confusables and duplicate names; accept all allowed character boundaries; no reserved builder names.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED SUBSET: uppercase fixture names and invalid schema reject. CODE REVIEWED: unique synthetic names, lowercase alphabet and provisional 1–32 bound. No global/on-chain registry or approved production name cap. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Source does not set maximum username length or empty-name behavior.	SPEC_CONFLICTS.md#c-013
